Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.74081	Node12	0	1769	FullDelay	0.670056	670056	2	3
1.74937	Node12	0	1804	LastDelay	0.132624	132624	1	3
1.74937	Node12	0	1804	FullDelay	0.669874	669874	2	3
1.75794	Node12	0	1839	LastDelay	0.132692	132692	1	3
1.75794	Node12	0	1839	FullDelay	0.669692	669692	2	3
1.76651	Node12	0	1874	LastDelay	0.13276	132760	1	3
1.76651	Node12	0	1874	FullDelay	0.66951	669510	2	3
1.77508	Node12	0	1910	LastDelay	0.132578	132578	1	3
1.77508	Node12	0	1910	FullDelay	0.669078	669078	2	3
1.78365	Node12	0	1945	LastDelay	0.132646	132646	1	3
1.78365	Node12	0	1945	FullDelay	0.668896	668896	2	3
1.79221	Node12	0	1980	LastDelay	0.132714	132714	1	3
1.79221	Node12	0	1980	FullDelay	0.668714	668714	2	3
1.80078	Node12	0	2016	LastDelay	0.132532	132532	1	3
1.80078	Node12	0	2016	FullDelay	0.668282	668282	2	3
1.80935	Node12	0	2050	LastDelay	0.13285	132850	1	3
1.80935	Node12	0	2050	FullDelay	0.66835	668350	2	3
1.81792	Node12	0	2086	LastDelay	0.132668	132668	1	3
1.81792	Node12	0	2086	FullDelay	0.667918	667918	2	3
1.82649	Node12	0	2320	LastDelay	0.132486	132486	1	3
1.82649	Node12	0	2320	FullDelay	0.132486	132486	1	3
1.83505	Node12	0	2353	LastDelay	0.132804	132804	1	3
1.83505	Node12	0	2353	FullDelay	0.132804	132804	1	3
1.84362	Node12	0	2388	LastDelay	0.132622	132622	1	3
1.84362	Node12	0	2388	FullDelay	0.132622	132622	1	3
1.85219	Node12	0	2422	LastDelay	0.13269	132690	1	3
1.85219	Node12	0	2422	FullDelay	0.13269	132690	1	3
1.86076	Node12	0	2456	LastDelay	0.132758	132758	1	3
1.86076	Node12	0	2456	FullDelay	0.132758	132758	1	3
1.86933	Node12	0	2491	LastDelay	0.132576	132576	1	3
1.86933	Node12	0	2491	FullDelay	0.132576	132576	1	3
1.87789	Node12	0	2525	LastDelay	0.132644	132644	1	3
1.87789	Node12	0	2525	FullDelay	0.132644	132644	1	3
1.88646	Node12	0	2559	LastDelay	0.132712	132712	1	3
1.88646	Node12	0	2559	FullDelay	0.132712	132712	1	3
1.89503	Node12	0	2593	LastDelay	0.13278	132780	1	3
